                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6325,                 3.4128,                 1.3729,                0.00333,                 0.9375,                0.48932,                0.27611,                 1.4835,                  3.501,                 1.0947,                0.00038,                0.00038,                0.00038
                      2,                 1.4317,                 2.1297,                 1.1712,                0.00333,                 0.9375,                0.56425,                0.26654,                 1.4686,                 3.5282,                 1.1511,             0.00074139,             0.00074139,             0.00074139
                      3,                 1.5244,                 1.9994,                  1.279,                0.93275,                0.15625,                0.41963,                0.23351,                 1.6226,                 3.3375,                 1.2075,              0.0010632,              0.0010632,              0.0010632
                      4,                 1.4828,                 1.9488,                 1.2796,                 0.8413,                0.53125,                0.61415,                0.34875,                 1.4541,                 2.6679,                 1.1916,              0.0013454,              0.0013454,              0.0013454
                      5,                 1.5067,                 1.8014,                 1.2317,                0.81746,                0.46875,                0.51096,                 0.2623,                 1.4646,                 2.5899,                  1.237,               0.001588,               0.001588,               0.001588
                      6,                 1.5229,                 1.8317,                 1.2917,                0.55254,                0.46875,                 0.4647,                0.21605,                 1.4769,                 2.5069,                 1.1931,               0.001505,               0.001505,               0.001505
                      7,                 1.5095,                 1.6298,                 1.2338,                0.61658,                0.46875,                0.43012,                 0.2012,                 1.5265,                 2.5186,                 1.2963,               0.001406,               0.001406,               0.001406
                      8,                 1.4542,                 1.5514,                 1.2515,                0.60961,                0.46875,                0.49736,                0.28375,                 1.5496,                 2.2234,                   1.29,               0.001307,               0.001307,               0.001307
                      9,                 1.4628,                 1.4962,                 1.2179,                 0.8237,                0.65625,                0.78456,                0.43356,                 1.4882,                 1.3955,                 1.1832,               0.001208,               0.001208,               0.001208
                     10,                 1.4075,                 1.3141,                 1.2215,                0.86666,                0.78125,                0.83798,                 0.4629,                 1.5756,                 1.2188,                 1.2085,               0.001109,               0.001109,               0.001109
                     11,                 1.4502,                 1.6769,                 1.2745,                0.85851,                0.71875,                 0.8288,                0.46367,                 1.4196,                  1.276,                 1.1696,                0.00101,                0.00101,                0.00101
                     12,                 1.3992,                 1.5346,                 1.2262,                0.76693,                0.71875,                0.81056,                0.44663,                 1.3759,                 1.5329,                 1.1679,               0.000911,               0.000911,               0.000911
                     13,                 1.3287,                  1.426,                 1.2006,                0.86694,                0.78125,                0.85398,                0.51395,                 1.4292,                 1.2862,                 1.2183,               0.000812,               0.000812,               0.000812
                     14,                 1.3388,                 1.3912,                 1.2133,                  0.792,                0.83314,                0.83019,                0.47942,                 1.4235,                 1.2867,                 1.2454,               0.000713,               0.000713,               0.000713
                     15,                  1.364,                 1.3456,                  1.213,                0.80022,                0.84375,                0.87935,                0.50358,                  1.439,                 1.2071,                 1.2363,               0.000614,               0.000614,               0.000614
                     16,                 1.2975,                 1.2764,                 1.1829,                0.83527,                 0.7925,                0.88773,                0.49123,                 1.5034,                 1.2205,                 1.2017,               0.000515,               0.000515,               0.000515
                     17,                  1.261,                 1.1881,                 1.1554,                0.86895,                0.82906,                 0.8971,                0.53012,                 1.4189,                 1.1218,                 1.1567,               0.000416,               0.000416,               0.000416
                     18,                 1.2662,                 1.2144,                 1.1409,                0.84197,                0.78125,                0.89241,                0.51333,                 1.4415,                 1.1317,                 1.1741,               0.000317,               0.000317,               0.000317
                     19,                  1.224,                 1.1462,                 1.1388,                0.82407,                0.87834,                0.90388,                0.51441,                 1.4469,                 1.0497,                 1.1462,               0.000218,               0.000218,               0.000218
                     20,                 1.1519,                  1.093,                  1.113,                0.80305,                0.90625,                 0.9079,                0.53723,                 1.5164,                 1.0144,                 1.1732,               0.000119,               0.000119,               0.000119
